graph_order,uDHBA_id,uDHBA_acronym,uDHBA_name,DHBA_name,DHBA_acronym,DHBA_id,uDHBA_label_value,r,g,b,hierarchy and full names,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
972,DHBA:266441689,ICN,intercollicular nucleus (commissural nucleus of inferior colliculus),intercollicular nucleus,ICN,266441689,1303,60,180,75,,,,,,,,intercollicular nucleus (commissural nucleus of inferior colliculus),,,,,,,,,,
973,DHBA:12311,BIC,nucleus of the brachium of inferior colliculus,nucleus of the brachium of inferior colliculus,BrIC,12311,1304,255,225,25,,,,,,,,nucleus of the brachium of inferior colliculus,,,,,,,,,,
974,DHBA:12195,MTg,midbrain tegmentum,midbrain tegmentum,MTg,12195,338,174,115,49,,,,,,midbrain tegmentum,,,,,,,,,,,,
975,DHBA:12196,MEN,efferent nuclei of the cranial nerves in midbrain,efferent nuclei of the cranial nerves in the midbrain,MEN,12196,339,24,140,112,,,,,,,efferent nuclei of the cranial nerves in midbrain,,,,,,,,,,,
976,DHBA:12197,EW,Edinger-Westphal nucleus (accessory oculomotor nucleus),Edinger-Westphal nucleus (accessory oculomotor nucleus),EW,12197,340,64,115,86,,,,,,,,Edinger-Westphal nucleus (accessory oculomotor nucleus),,,,,,,,,,
977,DHBA:12288,PrEW,pre-Edinger-Westphal nucleus,pre-Edinger-Westphal nucleus,PrEW,12288,1305,255,225,25,,,,,,,,pre-Edinger-Westphal nucleus,,,,,,,,,,
978,DHBA:12198,3N,oculomotor nucleus,oculomotor nucleus,3N,12198,1306,170,255,195,,,,,,,,oculomotor nucleus,,,,,,,,,,
979,DHBA:12199,3Mn,rostral median oculomotor nucleus,anterior median oculomotor nucleus,3AM,12199,1307,0,128,128,,,,,,,,,rostral median oculomotor nucleus,,,,,,,,,
980,DHBA:12200,3Cc,caudal central oculomotor nucleus,caudal central oculomotor nucleus,3CC,12200,1308,60,180,75,,,,,,,,,caudal central oculomotor nucleus,,,,,,,,,
981,DHBA:12201,3Ce,central oculomotor nucleus,central oculomotor nucleus,3C,12201,1309,245,130,48,,,,,,,,,central oculomotor nucleus,,,,,,,,,
982,DHBA:12202,3Do,dorsal oculomotor nucleus,dorsal oculomotor nucleus,3D,12202,1310,0,128,128,,,,,,,,,dorsal oculomotor nucleus,,,,,,,,,
983,DHBA:12204,3Me,medial oculomotor nucleus,medial oculomotor nucleus,3M,12204,1311,230,25,75,,,,,,,,,medial oculomotor nucleus,,,,,,,,,
984,DHBA:12205,3Ve,ventral oculomotor nucleus,ventral oculomotor nucleus,3Vn,12205,1312,128,128,0,,,,,,,,,ventral oculomotor nucleus,,,,,,,,,
985,DHBA:12203,I3,interoculomotor nucleus,interoculomotor nucleus,I3,12203,1313,0,0,128,,,,,,,,,interoculomotor nucleus,,,,,,,,,
986,DHBA:12206,4N,trochlear nucleus,trochlear nucleus,4N,12206,341,2,98,151,,,,,,,,trochlear nucleus,,,,,,,,,,
987,DHBA:AA30359,PAGR,periaqueductal gray region,,,,1314,250,190,212,,,,,,,periaqueductal gray region,,,,,,,,,,,
988,DHBA:12209,PAG,periaqueductal gray substance,periaqueductal gray substance,PAG,12209,345,236,39,58,,,,,,,,periaqueductal gray substance,,,,,,,,,,
989,DHBA:12211,PAGdm,"periaqueductal gray substance,dorsomedial division","periaqueductal gray substance,dorsomedial division",PAGdm,12211,1315,70,240,240,,,,,,,,,"periaqueductal gray substance,dorsomedial division",,,,,,,,,
990,DHBA:12212,PAGdl,"periaqueductal gray substance, dorsolateral division","periaqueductal gray substance, dorsolateral division",PAGdl,12212,1316,170,110,40,,,,,,,,,"periaqueductal gray substance, dorsolateral division",,,,,,,,,
991,DHBA:12213,PAGl,"periaqueductal gray substance, lateral division","periaqueductal gray substance, lateral division",PAGl,12213,1317,170,110,40,,,,,,,,,"periaqueductal gray substance, lateral division",,,,,,,,,
992,DHBA:12214,PAGvl,"periaqueductal gray substance, ventrolateral division","periaqueductal gray substance, ventrolateral division",PAGvl,12214,1318,70,240,240,,,,,,,,,"periaqueductal gray substance, ventrolateral division",,,,,,,,,
993,DHBA:12215,PAGpl,"periaqueductal gray substance, pleioglial division","periaqueductal gray substance, pleioglial division",PAGpl,12215,1319,255,250,200,,,,,,,,,"periaqueductal gray substance, pleioglial division",,,,,,,,,
994,DHBA:15548,Lth,lithoid nucleus,lithoid nucleus,Lth,15548,1320,220,190,255,,,,,,,,lithoid nucleus,,,,,,,,,,
995,DHBA:12287,PrC,precommissural nucleus,precommissural nucleus,PrC,12287,1321,0,130,200,,,,,,,,precommissural nucleus,,,,,,,,,,
996,DHBA:12101,SCO,subcommissural organ,subcommissural organ,SCO,12101,1322,0,128,128,,,,,,,,subcommissural organ,,,,,,,,,,
997,DHBA:12208,Me5,mesencephalic trigeminal nucleus,mesencephalic trigeminal nucleus,Me5,12208,344,148,35,240,,,,,,,,mesencephalic trigeminal nucleus,,,,,,,,,,
998,DHBA:AA30360,SPAR,subperiaqueductal region of midbrain,,,,1323,128,128,0,,,,,,,subperiaqueductal region of midbrain,,,,,,,,,,,
999,DHBA:12217,DRca,cap of dorsal raphe nucleus,cap of dorsal raphe nucleus,DRc,12217,1324,70,240,240,,,,,,,,cap of dorsal raphe nucleus,,,,,,,,,,
1000,DHBA:12218,Dk,nucleus of Darkschewitsch,nucleus of Darkschewitsch,Dk,12218,1325,255,250,200,,,,,,,,nucleus of Darkschewitsch,,,,,,,,,,
1001,DHBA:12219,PC3,parvicellular oculomotor nucleus,parvicellular oculomotor nucleus,PC3,12219,1326,250,190,212,,,,,,,,parvicellular oculomotor nucleus,,,,,,,,,,
1002,DHBA:12220,Su3C,supraoculomotor cap,supraoculomotor cap,Su3C,12220,1327,128,128,0,,,,,,,,supraoculomotor cap,,,,,,,,,,
1003,DHBA:12221,Su3,supraoculomotor nucleus,supraoculomotor nucleus,Su3,12221,1328,0,130,200,,,,,,,,supraoculomotor nucleus,,,,,,,,,,
1004,DHBA:13235,S4N,supratrochlear nucleus,supratrochlear nucleus,S4N,13235,342,104,111,154,,,,,,,,supratrochlear nucleus,,,,,,,,,,
1005,DHBA:12280,MA3,medial accessory oculomotor nucleus,medial accessory oculomotor nucleus,MA3,12280,1329,128,128,128,,,,,,,,medial accessory oculomotor nucleus,,,,,,,,,,
1006,DHBA:12222,MRa,raphe nuclei in midbrain,midbrain raphe nuclei,MRa,12222,348,81,179,187,,,,,,,raphe nuclei in midbrain,,,,,,,,,,,
1007,DHBA:12223,DR,dorsal raphe nucleus,dorsal raphe nucleus,DR,12223,349,141,44,16,,,,,,,,dorsal raphe nucleus,,,,,,,,,,
1008,DHBA:12224,DRC,"dorsal raphe nucleus, caudal part","dorsal raphe nucleus, caudal part",DRC,12224,1330,128,128,128,,,,,,,,,"dorsal raphe nucleus, caudal part",,,,,,,,,
1009,DHBA:12225,DRD,"dorsal raphe nucleus, dorsal part","dorsal raphe nucleus, dorsal part",DRD,12225,1331,128,128,0,,,,,,,,,"dorsal raphe nucleus, dorsal part",,,,,,,,,
1010,DHBA:12226,DRI,"dorsal raphe nucleus, interfascicular part","dorsal raphe nucleus, interfascicular part",DRI,12226,1332,145,30,180,,,,,,,,,"dorsal raphe nucleus, interfascicular part",,,,,,,,,
1011,DHBA:12227,DRL,"dorsal raphe nucleus, lateral part","dorsal raphe nucleus, lateral part",DRL,12227,1333,70,240,240,,,,,,,,,"dorsal raphe nucleus, lateral part",,,,,,,,,
1012,DHBA:12228,DRV,"dorsal raphe nucleus, ventral part","dorsal raphe nucleus, ventral part",DRV,12228,1334,145,30,180,,,,,,,,,"dorsal raphe nucleus, ventral part",,,,,,,,,
1013,DHBA:12229,DRVL,"dorsal raphe nucleus, ventrolateral part","dorsal raphe nucleus, ventrolateral part",DRVL,12229,1335,60,180,75,,,,,,,,,"dorsal raphe nucleus, ventrolateral part",,,,,,,,,
1014,DHBA:12237,PDR,posterodorsal raphe nucleus,posterodorsal raphe nucleus,PDR,12237,355,215,61,7,,,,,,,,,posterodorsal raphe nucleus,,,,,,,,,
1015,DHBA:12230,LiN,linear nucleus of the midbrain,linear nucleus of the midbrain,Lin,12230,350,255,225,25,,,,,,,,linear nucleus of the midbrain,,,,,,,,,,
1016,DHBA:12234,RliR,rostral linear nucleus of the raphe,rostral linear nucleus of the raphe,RLin,12234,352,145,30,180,,,,,,,,,rostral linear nucleus of the raphe,,,,,,,,,
1017,DHBA:AA30361,CLiR,caudal linear nucleus of the raphe,,,,1336,0,130,200,,,,,,,,,caudal linear nucleus of the raphe,,,,,,,,,
1018,DHBA:AA30362,CLiAz,"caudal linear nucleus of the raphe, azygos part",,,,1337,245,130,48,,,,,,,,,,"caudal linear nucleus of the raphe, azygos part",,,,,,,,
1019,DHBA:12233,CLiZ,"caudal linear nucleus of the raphe, zygos part","caudal linear nucleus of the raphe, zygos part",CLinZ,12233,1338,0,128,128,,,,,,,,,,"caudal linear nucleus of the raphe, zygos part",,,,,,,,
1020,DHBA:AA30363,MCc,central cell groups in midbrain,,,,1339,0,0,128,,,,,,,central cell groups in midbrain,,,,,,,,,,,
1021,DHBA:12247,RN,red nucleus,red nucleus,RN,12247,359,30,207,255,,,,,,,,red nucleus,,,,,,,,,,
1022,DHBA:12248,RNdm,"red nucleus, dorsomedial part","red nucleus, dorsomedial part",RNdm,12248,1340,245,130,48,,,,,,,,,"red nucleus, dorsomedial part",,,,,,,,,
1023,DHBA:12249,RNmc,"red nucleus, magnocellular part","red nucleus, magnocellular part",RNmc,12249,1341,0,0,128,,,,,,,,,"red nucleus, magnocellular part",,,,,,,,,
1024,DHBA:12250,RNpc,"red nucleus, parvicellular part","red nucleus, parvicellular part",RNpc,12250,1342,255,215,180,,,,,,,,,"red nucleus, parvicellular part",,,,,,,,,
1025,DHBA:AA30364,PRu,perirubral region of central cell groups,,,,1343,250,190,212,,,,,,,,perirubral region of central cell groups,,,,,,,,,,
1026,DHBA:AA30365,PrR,prerubral regions,,,,1344,0,128,128,,,,,,,,,prerubral regions,,,,,,,,,
1027,DHBA:12289,RRF,retrorubral field (retroisthmic nucleus),retrorubral field,RRF,12289,1345,145,30,180,,,,,,,,,retrorubral field (retroisthmic nucleus),,,,,,,,,
1028,DHBA:AA30366,RR,retrorubral nucleus,,,,1346,255,215,180,,,,,,,,,,retrorubral nucleus,,,,,,,,
1029,DHBA:10174,DA8,A8 dopamine cell group,caudal portion of DFC (area 8),A8,10174,1347,230,25,75,,,,,,,,,,A8 dopamine cell group,,,,,,,,
1030,DHBA:AA30367,PaR,pararubral nucleus,,,,1348,128,128,0,,,,,,,,,pararubral nucleus,,,,,,,,,
1031,DHBA:AA30368,MVC,ventral cell groups in midbrain,,,,1349,0,0,128,,,,,,,ventral cell groups in midbrain,,,,,,,,,,,
1032,DHBA:12251,SN,substantia nigra,substantia nigra,SN,12251,360,62,29,203,,,,,,,,substantia nigra,,,,,,,,,,
1033,DHBA:12252,SNC,"substantia nigra, compact part","substantia nigra, compact part",SNC,12252,1350,230,25,75,,,,,,,,,"substantia nigra, compact part",,,,,,,,,
1034,DHBA:12253,SNCd,"substantia nigra, compact part, dorsal subdivision","substantia nigra, compact part, dorsal subdivision",SNCd,12253,1351,60,180,75,,,,,,,,,,"substantia nigra, compact part, dorsal subdivision",,,,,,,,
1035,DHBA:12254,SNCm,"substantia nigra, compact part, medial subdivision","substantia nigra, compact part, medial subdivision",SNCm,12254,1352,128,128,0,,,,,,,,,,"substantia nigra, compact part, medial subdivision",,,,,,,,
1036,DHBA:12255,SNCv,"substantia nigra, compact part, ventral subdivision","substantia nigra, compact part, ventral subdivision",SNCv,12255,1353,145,30,180,,,,,,,,,,"substantia nigra, compact part, ventral subdivision",,,,,,,,
1037,DHBA:12259,SNR,"substantia nigra, reticular part","substantia nigra, reticular part",SNR,12259,1354,255,215,180,,,,,,,,,"substantia nigra, reticular part",,,,,,,,,
1038,DHBA:12257,SNL,"substantia nigra, lateral part","substantia nigra, lateral part",SNL,12257,1355,128,128,128,,,,,,,,,"substantia nigra, lateral part",,,,,,,,,
1039,DHBA:AA30369,SNM,"substantia nigra, medial Part",,,,1356,240,50,230,,,,,,,,,"substantia nigra, medial Part",,,,,,,,,
1040,DHBA:12193,MTN,medial terminal nucleus of accessory nucleus of optic tract ,"accessory nuclei of optic tract, medial nucleus",AOPm,12193,1357,255,225,25,,,,,,,,,medial terminal nucleus of accessory nucleus of optic tract ,,,,,,,,,
1041,DHBA:146034938,VTR,ventral tegmental region of midbrain,ventral tegmental region of midbrain,VTR,146034938,361,0,114,37,,,,,,,,ventral tegmental region of midbrain,,,,,,,,,,
1042,DHBA:12261,VTA,ventral tegmental area,ventral tegmental area,VTA,12261,1358,230,25,75,,,,,,,,,ventral tegmental area,,,,,,,,,
1043,DHBA:12262,IF,interfascicular nucleus,interfascicular nucleus,IF,12262,1359,255,225,25,,,,,,,,,interfascicular nucleus,,,,,,,,,
1044,DHBA:12263,PBP,parabrachial pigmented nucleus,parabrachial pigmented nucleus,PBP,12263,1360,240,50,230,,,,,,,,,parabrachial pigmented nucleus,,,,,,,,,
1045,DHBA:12264,PIF,parainterfascicular nucleus,parainterfascicular nucleus,PIF,12264,1361,240,50,230,,,,,,,,,parainterfascicular nucleus,,,,,,,,,
1046,DHBA:12265,PaN,paranigral nucleus,paranigral nucleus,PaN,12265,1362,145,30,180,,,,,,,,,paranigral nucleus,,,,,,,,,
1047,DHBA:12270,IP,interpeduncular nucleus,interpeduncular nucleus,IP,12270,362,70,94,82,,,,,,,,interpeduncular nucleus,,,,,,,,,,
1048,DHBA:12271,IPap,"interpeduncular nucleus, apical sudivision","interpeduncular nucleus, apical subnucleus",IPa,12271,1363,210,245,60,,,,,,,,,"interpeduncular nucleus, apical sudivision",,,,,,,,,
1049,DHBA:12272,IPc,"interpeduncular nucleus, caudal subdivision","interpeduncular nucleus, caudal subnucleus",IPc,12272,1364,0,130,200,,,,,,,,,"interpeduncular nucleus, caudal subdivision",,,,,,,,,
1050,DHBA:12273,IPdm,"interpeduncular nucleus, dorsomedial subdivision","interpeduncular nucleus, dorsomedial subnucleus",IPdm,12273,1365,245,130,48,,,,,,,,,"interpeduncular nucleus, dorsomedial subdivision",,,,,,,,,
1051,DHBA:12274,IPi,"interpeduncular nucleus, intermediate subdivision","interpeduncular nucleus, intermediate subnucleus",IPi,12274,1366,0,130,200,,,,,,,,,"interpeduncular nucleus, intermediate subdivision",,,,,,,,,
1052,DHBA:12275,IPl,"interpeduncular nucleus, lateral subdivision","interpeduncular nucleus, lateral subnucleus",IPl,12275,1367,255,225,25,,,,,,,,,"interpeduncular nucleus, lateral subdivision",,,,,,,,,
1053,DHBA:12271,IPr,"interpeduncular nucleus, rostral subdivision","interpeduncular nucleus, apical subnucleus",IPa,12271,1368,128,0,0,,,,,,,,,"interpeduncular nucleus, rostral subdivision",,,,,,,,,
1054,DHBA:AA30370,MLC,lateral cell groups in midbrain,,,,1369,250,190,212,,,,,,,lateral cell groups in midbrain,,,,,,,,,,,
1055,DHBA:12495,PaL,paralemniscal nucleus,paralemniscal nucleus,PLN,12495,1370,128,128,128,,,,,,,,paralemniscal nucleus,,,,,,,,,,
1056,DHBA:12312,PBG,parabigeminal nucleus,parabigeminal nucleus,PBG,12312,1371,128,0,0,,,,,,,,parabigeminal nucleus,,,,,,,,,,
1057,DHBA:12281,MiTg,microcellular tegmental nucleus,microcellular tegmental nucleus,MiTg,12281,1372,145,30,180,,,,,,,,microcellular tegmental nucleus,,,,,,,,,,
1058,DHBA:12313,Sag,sagulum nucleus (nucleus sagulum),sagulum nucleus,Sag,12313,1373,255,225,25,,,,,,,,sagulum nucleus (nucleus sagulum),,,,,,,,,,
1059,DHBA:12290,SbB,subbrachial nucleus,subbrachial nucleus,SubB,12290,1374,255,225,25,,,,,,,,subbrachial nucleus,,,,,,,,,,
1060,DHBA:12192,LTN,lateral terminal nucleus of accessory nucleus of optic tract ,"accessory nuclei of optic tract, lateral nucleus",AOPl,12192,1375,128,0,0,,,,,,,,lateral terminal nucleus of accessory nucleus of optic tract ,,,,,,,,,,
1061,DHBA:12239,MRF,midbrain reticular formation,midbrain reticular formation,MRF,12239,358,152,206,71,,,,,,,midbrain reticular formation,,,,,,,,,,,
1062,DHBA:12240,CnF,cuneiform nucleus,cuneiform nucleus,CnF,12240,1376,128,128,128,,,,,,,,cuneiform nucleus,,,,,,,,,,
1063,DHBA:AA30371,CnFd,dorsal part of cuneiform nucleus,,,,1377,220,190,255,,,,,,,,,dorsal part of cuneiform nucleus,,,,,,,,,
1064,DHBA:AA30372,CnFv,ventral aprt of cuneiform nucleus,,,,1378,255,225,25,,,,,,,,,ventral aprt of cuneiform nucleus,,,,,,,,,
1065,DHBA:12241,PrCnF,precuneiform area,precuneiform area,PrCnF,12241,1379,128,128,128,,,,,,,,precuneiform area,,,,,,,,,,
1066,DHBA:12242,U-mb,nucleus U of midbrain,nucleus U,U,12242,1380,170,110,40,,,,,,,,nucleus U of midbrain,,,,,,,,,,
1067,DHBA:12243,PTg,pedunculo(pontine) tegmental  nucleus,pedunculo(pontine) tegmental  nucleus,PTg,12243,1381,255,215,180,,,,,,,,pedunculo(pontine) tegmental  nucleus,,,,,,,,,,
1068,DHBA:12244,PTgC,"pedunculo(pontine) tegmental  nucleus, compact part","pedunculo(pontine) tegmental  nucleus, compact part",PTgC,12244,1382,245,130,48,,,,,,,,,"pedunculo(pontine) tegmental  nucleus, compact part",,,,,,,,,
1069,DHBA:12245,PTgD,"pedunculo(pontine) tegmental  nucleus, dissipated part","pedunculo(pontine) tegmental  nucleus, dissipated part",PTgD,12245,1383,0,0,128,,,,,,,,,"pedunculo(pontine) tegmental  nucleus, dissipated part",,,,,,,,,
1070,DHBA:12246,SCnF,subcuneiform nucleus,subcuneiform nucleus,SubCn,12246,1384,230,25,75,,,,,,,,subcuneiform nucleus,,,,,,,,,,
1071,DHBA:12282,PaC,paracollicular tegmentum,paracollicular tegmentum,PaC,12282,1385,128,0,0,,,,,,,,paracollicular tegmentum,,,,,,,,,,
1072,DHBA:15547,isRt,isthmic reticular formation,isthmic reticular formation,isRt,15547,2423,250,190,212,,,,,,,,isthmic reticular formation,,,,,,,,,,
1073,DHBA:12194,INPC,interstitial nucleus of posterior commissure (nucleus of posterior commissure),interstitial nucleus of posterior commissure,INPC,12194,1386,0,128,128,,,,,,,,interstitial nucleus of posterior commissure (nucleus of posterior commissure),,,,,,,,,,
1074,DHBA:12279,MCPC,magocellular nucleus of posterior commissure,magnocellular nucleus of the posterior commissure,MCPC,12279,1387,128,128,128,,,,,,,,magocellular nucleus of posterior commissure,,,,,,,,,,
1075,DHBA:12278,InC,interstitial nucleus of Cajal,interstitial nucleus of Cajal,InC,12278,1388,128,0,0,,,,,,,,interstitial nucleus of Cajal,,,,,,,,,,
1076,DHBA:AA30373,InCco,core of interstitial nucleus of Cajal,,,,1389,0,128,128,,,,,,,,,core of interstitial nucleus of Cajal,,,,,,,,,
1077,DHBA:AA30374,InCsh,shell of interstitial nucleus of Cajal,,,,1390,255,225,25,,,,,,,,,shell of interstitial nucleus of Cajal,,,,,,,,,
1078,DHBA:12284,Pa4,paratrochlear nucleus,paratrochlear nucleus,Pa4,12284,1391,255,250,200,,,,,,,,paratrochlear nucleus,,,,,,,,,,
1079,DHBA:AA30375,MTgX,uncharted region in midbrain tegmentum,,,,1392,70,240,240,,,,,,,uncharted region in midbrain tegmentum,,,,,,,,,,,
1080,DHBA:AA30376,MBDe,developing transient structures of midbrain,,,,1393,145,30,180,,,,,developing transient structures of midbrain,,,,,,,,,,,,,
1081,DHBA:12326,MZM,marginal zone of midbrain,marginal zone of midbrain,MZM,12326,1394,170,255,195,,,,,,marginal zone of midbrain,,,,,,,,,,,,
1082,DHBA:12319,IZM,intermediate (mantal) zone of midbrain,intermediate (mantle) zone of midbrain,IZM,12319,1395,170,110,40,,,,,,intermediate (mantal) zone of midbrain,,,,,,,,,,,,
1083,DHBA:12320,IZMro,roof plate of midbrain,roof plate of midbrain,IZMro,12320,1396,128,128,0,,,,,,,roof plate of midbrain,,,,,,,,,,,
1084,DHBA:12321,IZMal,alar plate (tectal zone) of midbrain,alar plate (tectal zone) of midbrain,IZMal,12321,1397,255,250,200,,,,,,,alar plate (tectal zone) of midbrain,,,,,,,,,,,
1085,DHBA:12322,IZMba,basal plate of midbrain,basal plate of midbrain,IZMba,12322,1398,0,128,128,,,,,,,basal plate of midbrain,,,,,,,,,,,
1086,DHBA:12325,IZMfl,floor plate of midbrain,floor plate of midbrain,IZMfl,12325,1399,145,30,180,,,,,,,floor plate of midbrain,,,,,,,,,,,
1087,DHBA:12318,VZM,ventricular (matrix) zone of midbrain,ventricular (matrix) zone of midbrain,VZM,12318,1400,210,245,60,,,,,,ventricular (matrix) zone of midbrain,,,,,,,,,,,,
1088,DHBA:10653,HB,hindbrain (rhombencephalon),hindbrain (rhombencephalon),H,10653,383,230,25,75,,,,hindbrain (rhombencephalon),,,,,,,,,,,,,,
1089,DHBA:AA30377,HBR,regions of hindbrain,,,,1401,60,180,75,,,,,regions of hindbrain,,,,,,,,,,,,,
1090,DHBA:10655,Met,metencephalon,metencephalon,Met,10655,385,171,69,68,,,,,,metencephalon,,,,,,,,,,,,
1091,DHBA:10656,CB,cerebellum,cerebellum,CB,10656,386,183,77,46,,,,,,,cerebellum,,,,,,,,,,,
1092,DHBA:10657,CBC,cerebellar cortex,cerebellar cortex,CBC,10657,387,206,181,251,,,,,,,,cerebellar cortex,,,,,,,,,,
1093,DHBA:AA30378,CBR,regions (lobes) of cerebellar cortex,,,,2394,255,225,25,,,,,,,,,regions (lobes) of cerebellar cortex,,,,,,,,,
1094,DHBA:12838,ACb,anterior lobe of cerebellar cortex,anterior lobe,ACb,12838,1403,220,190,255,,,,,,,,,,anterior lobe of cerebellar cortex,,,,,,,,
1095,DHBA:AA30379,ACV,"anterior lobe, vermis part",,,,1404,255,225,25,,,,,,,,,,,"anterior lobe, vermis part",,,,,,,
1096,DHBA:AA30380,CV1,lobule I (lingula),,,,1405,0,130,200,,,,,,,,,,,,lobule I (lingula),,,,,,
1097,DHBA:AA30381,CV23,lobule II-III (central lobule),,,,1406,255,250,200,,,,,,,,,,,,lobule II-III (central lobule),,,,,,
1098,DHBA:AA30382,CV2,"lobule II (central lobule, rostral part)",,,,1407,128,128,128,,,,,,,,,,,,,"lobule II (central lobule, rostral part)",,,,,
1099,DHBA:AA30383,CV3,"lobule III (central lobule, caudal part)",,,,1408,250,190,212,,,,,,,,,,,,,"lobule III (central lobule, caudal part)",,,,,
1100,DHBA:AA30384,CV45,Lobule IV-V (culmen),,,,1409,245,130,48,,,,,,,,,,,,Lobule IV-V (culmen),,,,,,
1101,DHBA:AA30385,CV4,"lobule IV (culmen, rostral part)",,,,1410,220,190,255,,,,,,,,,,,,,"lobule IV (culmen, rostral part)",,,,,
1102,DHBA:AA30386,CV5,"lobule V (culmen, caudal part)",,,,1411,245,130,48,,,,,,,,,,,,,"lobule V (culmen, caudal part)",,,,,
1103,DHBA:AA30387,ACH,"anterior lobe, hemisphere part",,,,1412,145,30,180,,,,,,,,,,,"anterior lobe, hemisphere part",,,,,,,
1104,DHBA:AA30388,CH23,lobule II-III (wing of central lobule),,,,1413,255,250,200,,,,,,,,,,,,lobule II-III (wing of central lobule),,,,,,
1105,DHBA:AA30389,CH2,"lobule II (wing of central lobule, rostral part)",,,,1414,170,255,195,,,,,,,,,,,,,"lobule II (wing of central lobule, rostral part)",,,,,
1106,DHBA:AA30390,CH3,"lobule III (wing of central lobule, caudal part)",,,,1415,250,190,212,,,,,,,,,,,,,"lobule III (wing of central lobule, caudal part)",,,,,
1107,DHBA:AA30391,CH45,Lobule IV-V (quadrangular lobule),,,,1416,255,225,25,,,,,,,,,,,,Lobule IV-V (quadrangular lobule),,,,,,
1108,DHBA:AA30392,CH4,"lobule IV (quadrangular lobule, rostral part)",,,,1417,0,130,200,,,,,,,,,,,,,"lobule IV (quadrangular lobule, rostral part)",,,,,
1109,DHBA:AA30393,CH5,"lobule V (quadrangular lobule, caudal part)",,,,1418,255,250,200,,,,,,,,,,,,,"lobule V (quadrangular lobule, caudal part)",,,,,
1110,DHBA:12844,PCb,posterior lobe of cerebellar cortex,posterior lobe,PCb,12844,1419,0,130,200,,,,,,,,,,posterior lobe of cerebellar cortex,,,,,,,,
1111,DHBA:AA30394,PCV,"posterior lobe, vermis part",,,,1420,210,245,60,,,,,,,,,,,"posterior lobe, vermis part",,,,,,,
1112,DHBA:AA30395,CV6,lobule VI (declive),,,,1421,255,225,25,,,,,,,,,,,,lobule VI (declive),,,,,,
1113,DHBA:AA30396,CV6a,"lobule VIA (declive, rostral part)",,,,1422,210,245,60,,,,,,,,,,,,,"lobule VIA (declive, rostral part)",,,,,
1114,DHBA:AA30397,CV6b,"Lobule VIB (declive, caudal part)",,,,1423,70,240,240,,,,,,,,,,,,,"Lobule VIB (declive, caudal part)",,,,,
1115,DHBA:AA30398,CV7,lobule VII (folium and tuber),,,,1424,250,190,212,,,,,,,,,,,,lobule VII (folium and tuber),,,,,,
1116,DHBA:AA30399,CV7a,lobule VIIA-folium and tuber,,,,1425,0,130,200,,,,,,,,,,,,,lobule VIIA-folium and tuber,,,,,
1117,DHBA:AA30400,CV7a1,lobule VIIAf (folium),,,,1426,170,110,40,,,,,,,,,,,,,,lobule VIIAf (folium),,,,
1118,DHBA:AA30401,CV7a2,"lobule VIIAt (tuber, part 1)",,,,1427,145,30,180,,,,,,,,,,,,,,"lobule VIIAt (tuber, part 1)",,,,
1119,DHBA:AA30402,CV7b,"lobule VIIB (tuber, part 2)",,,,1428,245,130,48,,,,,,,,,,,,,"lobule VIIB (tuber, part 2)",,,,,
1120,DHBA:AA30403,CV8,Lobule VIII (pyramis),,,,1429,230,25,75,,,,,,,,,,,,Lobule VIII (pyramis),,,,,,
1121,DHBA:AA30404,CV8a,"lobule VIIIA (pyramis, part 1)",,,,1430,255,225,25,,,,,,,,,,,,,"lobule VIIIA (pyramis, part 1)",,,,,
1122,DHBA:AA30405,CV8b,"lobule VIIIB (pyramis, part 2)",,,,1431,255,215,180,,,,,,,,,,,,,"lobule VIIIB (pyramis, part 2)",,,,,
1123,DHBA:AA30406,CV9,lobule IX (uvula),,,,1432,0,128,128,,,,,,,,,,,,lobule IX (uvula),,,,,,
1124,DHBA:AA30407,PCH,"posterior lobe, hemisphere part",,,,1433,145,30,180,,,,,,,,,,,"posterior lobe, hemisphere part",,,,,,,
1125,DHBA:AA30408,CH6,lobule VI (simple lobule),,,,1434,210,245,60,,,,,,,,,,,,lobule VI (simple lobule),,,,,,
1126,DHBA:AA30409,CH6a,"lobule VIA (simple lobule, rostral part)",,,,1435,220,190,255,,,,,,,,,,,,,"lobule VIA (simple lobule, rostral part)",,,,,
1127,DHBA:AA30410,CH6b,"Lobule VIB (simple lobule, caudal part)",,,,1436,255,215,180,,,,,,,,,,,,,"Lobule VIB (simple lobule, caudal part)",,,,,
1128,DHBA:AA30411,CH7,lobule VII (semilunar-gracile lobule),,,,1437,0,130,200,,,,,,,,,,,,lobule VII (semilunar-gracile lobule),,,,,,
1129,DHBA:AA30412,CH7a,lobule VIIA (semilunar lobule/ansiform lobule),,,,1438,250,190,212,,,,,,,,,,,,,lobule VIIA (semilunar lobule/ansiform lobule),,,,,
